site,species,trait,env,value
109,Abies concolor,1.404361963,-0.350827751,0
113,Abies concolor,1.404361963,-0.774024681,0
12,Abies concolor,1.404361963,1.667496071,0
156,Abies concolor,1.404361963,1.01642387,25
157,Abies concolor,1.404361963,1.34195997,7
160,Abies concolor,1.404361963,-1.392543272,4
161,Abies concolor,1.404361963,-0.936792732,4
163,Abies concolor,1.404361963,-1.197221612,0
164,Abies concolor,1.404361963,-0.285720531,0
185,Abies concolor,1.404361963,1.423343995,0
187,Abies concolor,1.404361963,0.69088777,0
188,Abies concolor,1.404361963,1.01642387,0
190,Abies concolor,1.404361963,0.75599499,0
191,Abies concolor,1.404361963,0.609503745,0
192,Abies concolor,1.404361963,-1.587864932,0
193,Abies concolor,1.404361963,0.75599499,0
194,Abies concolor,1.404361963,0.300244449,2
223,Abies concolor,1.404361963,-1.099560782,11
224,Abies concolor,1.404361963,-0.448488581,10
225,Abies concolor,1.404361963,-1.099560782,0
226,Abies concolor,1.404361963,-1.262328832,0
227,Abies concolor,1.404361963,-1.262328832,19
230,Abies concolor,1.404361963,-0.448488581,3
247,Abies concolor,1.404361963,0.69088777,0
248,Abies concolor,1.404361963,1.01642387,0
250,Abies concolor,1.404361963,-0.285720531,0
29,Abies concolor,1.404361963,-0.774024681,1
30,Abies concolor,1.404361963,-0.936792732,0
306,Abies concolor,1.404361963,1.34195997,0
307,Abies concolor,1.404361963,1.394045746,0
308,Abies concolor,1.404361963,-0.350827751,0
31,Abies concolor,1.404361963,-0.204336506,0
32,Abies concolor,1.404361963,1.47217441,0
33,Abies concolor,1.404361963,1.08153109,0
34,Abies concolor,1.404361963,0.82110221,0
35,Abies concolor,1.404361963,0.283967644,0
38,Abies concolor,1.404361963,-0.503829718,0
39,Abies concolor,1.404361963,-0.774024681,0
407,Abies concolor,1.404361963,0.905741596,0
409,Abies concolor,1.404361963,-1.480438019,0
410,Abies concolor,1.404361963,-1.425096882,0
411,Abies concolor,1.404361963,-0.936792732,0
412,Abies concolor,1.404361963,1.667496071,8
43,Abies concolor,1.404361963,-1.425096882,14
45,Abies concolor,1.404361963,0.202583619,0
